Time (UTC),Actual Total Load [MW] - Luxembourg (LU)
01.01.2022 00:00 - 01.01.2022 00:15,426
01.01.2022 00:15 - 01.01.2022 00:30,426
01.01.2022 00:30 - 01.01.2022 00:45,421
01.01.2022 00:45 - 01.01.2022 01:00,416
01.01.2022 01:00 - 01.01.2022 01:15,413
01.01.2022 01:15 - 01.01.2022 01:30,409
01.01.2022 01:30 - 01.01.2022 01:45,406
01.01.2022 01:45 - 01.01.2022 02:00,401
01.01.2022 02:00 - 01.01.2022 02:15,402
01.01.2022 02:15 - 01.01.2022 02:30,402
01.01.2022 02:30 - 01.01.2022 02:45,400
01.01.2022 02:45 - 01.01.2022 03:00,397
01.01.2022 03:00 - 01.01.2022 03:15,396
01.01.2022 03:15 - 01.01.2022 03:30,394
01.01.2022 03:30 - 01.01.2022 03:45,396
01.01.2022 03:45 - 01.01.2022 04:00,395
01.01.2022 04:00 - 01.01.2022 04:15,397
01.01.2022 04:15 - 01.01.2022 04:30,396
01.01.2022 04:30 - 01.01.2022 04:45,396
01.01.2022 04:45 - 01.01.2022 05:00,396
01.01.2022 05:00 - 01.01.2022 05:15,397
01.01.2022 05:15 - 01.01.2022 05:30,397
01.01.2022 05:30 - 01.01.2022 05:45,399
01.01.2022 05:45 - 01.01.2022 06:00,403
01.01.2022 06:00 - 01.01.2022 06:15,407
01.01.2022 06:15 - 01.01.2022 06:30,407
01.01.2022 06:30 - 01.01.2022 06:45,409
01.01.2022 06:45 - 01.01.2022 07:00,414
01.01.2022 07:00 - 01.01.2022 07:15,418
01.01.2022 07:15 - 01.01.2022 07:30,414
01.01.2022 07:30 - 01.01.2022 07:45,406
01.01.2022 07:45 - 01.01.2022 08:00,410
01.01.2022 08:00 - 01.01.2022 08:15,415
01.01.2022 08:15 - 01.01.2022 08:30,418
01.01.2022 08:30 - 01.01.2022 08:45,422
01.01.2022 08:45 - 01.01.2022 09:00,430
01.01.2022 09:00 - 01.01.2022 09:15,436
01.01.2022 09:15 - 01.01.2022 09:30,440
01.01.2022 09:30 - 01.01.2022 09:45,445
01.01.2022 09:45 - 01.01.2022 10:00,451
01.01.2022 10:00 - 01.01.2022 10:15,459
01.01.2022 10:15 - 01.01.2022 10:30,465
